# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"","anchor_id":"","type":1,"desc":"","options":{},"default_option_id":""},"2":{"aname":"","anchor_id":"","type":1,"desc":"","options":{},"default_option_id":""},"3":{"aname":"road defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_APcCgXGq","[""GX020590_5386_fn_51070.jpg""]",0,"[]","[2,2204.9276,1000.39954,403.19671,209.1898]","{""3"":""4""}"
"2_KzKIirXm","[""GX020590_5481_fn_51970.jpg""]",0,"[]","[2,2162.75251,951.47613,377.89122,242.92979]","{""3"":""4""}"
"3_43fiOF0m","[""GX020590_5495_fn_52000.jpg""]",0,"[]","[2,2022.73031,808.07991,362.70809,253.05205]","{""3"":""4""}"
"4_CE5SWqy7","[""GX020590_5423_fn_51680.jpg""]",0,"[]","[2,2105.394,956.537,448.746,131.587]","{""3"":""2""}"
"5_6zNWX6qn","[""GX020590_5426_fn_51690.jpg""]",0,"[]","[2,1931.63106,857.0031,408.258,87.72498]","{""3"":""2""}"
"5_tX1KRXMF","[""GX020590_5426_fn_51690.jpg""]",0,"[]","[2,2177.93593,1057.7579,433.562,80.977]","{""3"":""2""}"
"6_7wnsK5Xj","[""GX020590_5450_fn_51780.jpg""]",0,"[]","[2,2292.653,1069.567,394.761,111.343]","{""3"":""2""}"
"7_FbMhFjv1","[""GX020590_5453_fn_51790.jpg""]",0,"[]","[2,2056.471,907.614,352.586,101.221]","{""3"":""2""}"
"9_6g9gzpCE","[""GX020590_5685_fn_53200.jpg""]",0,"[]","[2,1813.54016,760.84351,404.88381,195.69348]","{""3"":""2""}"
"9_nWXzLpaR","[""GX020590_5685_fn_53200.jpg""]",0,"[]","[2,2279.15678,1078.00199,318.845,74.229]","{""3"":""2""}"
"10_UIjBdG6I","[""GX020590_5703_fn_53310.jpg""]",0,"[]","[2,1967.059,937.98,435.25,87.725]","{""3"":""2""}"
"10_333hFPmV","[""GX020590_5703_fn_53310.jpg""]",0,"[]","[2,2461.354,1233.208,232.808,97.846]","{""3"":""2""}"
"11_1idiAtxw","[""GX020590_5705_fn_53310.jpg""]",0,"[]","[2,1987.30288,946.41491,408.258,87.725]","{""3"":""2""}"
"11_SXdWlwRe","[""GX020590_5705_fn_53310.jpg""]",0,"[]","[2,2463.04101,1251.76493,232.808,80.976]","{""3"":""2""}"
"12_CvWLci5A","[""GX020590_5706_fn_53320.jpg""]",0,"[]","[2,1847.281,814.828,367.769,114.717]","{""3"":""2""}"
"12_XgJRQAyS","[""GX020590_5706_fn_53320.jpg""]",0,"[]","[2,2189.74481,1002.08691,352.586,107.969]","{""3"":""2""}"
"13_TpF4GqFa","[""GX020590_5760_fn_54050.jpg""]",0,"[]","[2,1553.74,792.897,676.493,123.152]","{""3"":""2""}"
"14_dkY5PI4q","[""GX020590_53_fn_1150.jpg""]",0,"[]","[2,1801.731,926.171,123.152,96.16]","{""3"":""9""}"
"15_RFkwYJBQ","[""GX020590_6184_fn_56550.jpg""]",0,"[]","[2,1823.663,948.102,452.119,443.685]","{""3"":""9""}"
"16_jqoB00EG","[""GX020590_6196_fn_56570.jpg""]",0,"[]","[2,1629.65594,757.469,575.27192,502.731]","{""3"":""9""}"
"17_qOgWUapB","[""GX020590_7138_fn_62280.jpg""]",0,"[]","[2,1553.7401,673.11922,111.343,79.28922]","{""3"":""9""}"
"21_vERXHiD3","[""GX020590_49_fn_1310.jpg""]",0,"[]","[2,1621.221,1280.444,323.907,232.808]","{""3"":""14""}"
"22_3iG2EiA2","[""GX020590_55_fn_1190.jpg""]",0,"[]","[2,489.23383,1177.53603,323.907,204.129]","{""3"":""14""}"
"22_njI8krRA","[""GX020590_55_fn_1190.jpg""]",0,"[]","[2,838.44596,845.19384,190.633,128.213]","{""3"":""14""}"
"23_lxFUA4X4","[""GX020590_56_fn_1200.jpg""]",0,"[]","[2,789.52306,922.7969,202.441,129.9]","{""3"":""14""}"
"24_8WwuXiWT","[""GX020590_57_fn_1200.jpg""]",0,"[]","[2,787.8361,914.36194,234.495,126.52596]","{""3"":""14""}"
"25_SGephvot","[""GX020590_58_fn_1200.jpg""]",0,"[]","[2,787.83601,927.8579,205.815,102.908]","{""3"":""14""}"
"26_wNLFiFf2","[""GX020590_59_fn_1200.jpg""]",0,"[]","[2,813.14095,921.10988,188.94562,119.77802]","{""3"":""14""}"
"27_XRW5rDUp","[""GX020590_71_fn_1280.jpg""]",0,"[]","[2,617.447,1078.00194,274.984,188.946]","{""3"":""14""}"
"27_4FDegx4y","[""GX020590_71_fn_1280.jpg""]",0,"[]","[2,1572.297,1086.43691,241.244,126.526]","{""3"":""14""}"
"28_TUV7k479","[""GX020590_76_fn_1290.jpg""]",0,"[]","[2,860.377,867.125,180.511,128.214]","{""3"":""14""}"
"28_XCKDFptS","[""GX020590_76_fn_1290.jpg""]",0,"[]","[2,1503.13,877.248,173.762,134.961]","{""3"":""14""}"
"30_aDJFoTXh","[""GX020590_81_fn_1370.jpg""]",0,"[]","[2,1486.26,914.362,229.434,222.686]","{""3"":""14""}"
"34_RFHRfA6X","[""GX020590_85_fn_1380.jpg""]",0,"[]","[2,1466.016,1025.705,251.365,140.022]","{""3"":""14""}"
"34_f7kt4Xqb","[""GX020590_85_fn_1380.jpg""]",0,"[]","[2,1445.771,797.958,187.259,134.961]","{""3"":""14""}"
"33_LqycjpZU","[""GX020590_84_fn_1380.jpg""]",0,"[]","[2,1498.06881,1035.827,224.37319,111.343]","{""3"":""14""}"
"32_IZc8Rrfa","[""GX020590_83_fn_1380.jpg""]",0,"[]","[2,1521.68701,1029.079,197.38099,131.587]","{""3"":""14""}"
"31_hyj2VDum","[""GX020590_82_fn_1370.jpg""]",0,"[]","[2,1509.878,927.85794,215.938,209.19006]","{""3"":""14""}"
"31_fifgm7jn","[""GX020590_82_fn_1370.jpg""]",0,"[]","[2,824.95,910.988,151.831,114.717]","{""3"":""14""}"
