# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road Defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_Xj2c8zM6","[""GX020576_230_fn_46760.jpg""]",0,"[]","[2,5.278,629.815,260.37,177.685]","{""1"":""17""}"
"1_gvnPM2O8","[""GX020576_230_fn_46760.jpg""]",0,"[]","[2,302.593,497.87,184.722,133.704]","{""1"":""17""}"
"1_KvwAPJ0s","[""GX020576_230_fn_46760.jpg""]",0,"[]","[2,534.815,388.796,177.685,144.26]","{""1"":""17""}"
"1_Yl3pM5aW","[""GX020576_230_fn_46760.jpg""]",0,"[]","[2,2258.889,650.926,237.5,205.833]","{""1"":""17""}"
"2_vISAvxVA","[""GX020576_234_fn_46830.jpg""]",0,"[]","[2,12.315,650.926,197.037,175.926]","{""1"":""17""}"
"2_l611fSBE","[""GX020576_234_fn_46830.jpg""]",0,"[]","[2,265.648,517.222,161.852,137.222]","{""1"":""17""}"
"2_NRPfv9yS","[""GX020576_234_fn_46830.jpg""]",0,"[]","[2,485.556,404.63,140.74,154.814]","{""1"":""17""}"
"3_rUYGnMXt","[""GX020576_238_fn_46900.jpg""]",0,"[]","[2,15.833,598.148,211.111,197.037]","{""1"":""17""}"
"3_JzSxDPhL","[""GX020576_238_fn_46900.jpg""]",0,"[]","[2,276.204,478.519,174.166,165.37]","{""1"":""17""}"
"3_htMG5lFp","[""GX020576_238_fn_46900.jpg""]",0,"[]","[2,494.35159,383.51856,182.963,160.093]","{""1"":""17""}"
"4_FMZVMrho","[""GX020576_248_fn_47000.jpg""]",0,"[]","[2,184.722,564.722,193.519,151.297]","{""1"":""17""}"
"4_8VumiJTD","[""GX020576_248_fn_47000.jpg""]",0,"[]","[2,462.685,427.5,170.648,131.944]","{""1"":""17""}"
"4_HX9CPxwQ","[""GX020576_248_fn_47000.jpg""]",0,"[]","[2,687.87,344.815,126.667,109.074]","{""1"":""17""}"
"5_RZJUujI0","[""GX020576_295_fn_47370.jpg""]",0,"[]","[2,33.426,601.667,186.481,197.037]","{""1"":""17""}"
"5_KLjrQP1d","[""GX020576_295_fn_47370.jpg""]",0,"[]","[2,425.741,409.907,226.944,149.537]","{""1"":""17""}"
