# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road Defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"Road defects","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""},"2":{"aname":"","anchor_id":"","type":1,"desc":"","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_Ykx4Ueon","[""GX010560_50561_fn_143370.jpg""]",0,"[]","[2,2188.59688,458.70841,181.11313,174.34281]","{""1"":""17""}"
"2_20RUHuOy","[""GX010560_50564_fn_143380.jpg""]",0,"[]","[2,2026.102,350.379,176.036,132.026]","{""1"":""17""}"
"3_peE0K1aI","[""GX010560_50565_fn_143380.jpg""]",0,"[]","[2,2009.17595,326.68151,172.65005,143.87549]","{""1"":""17""}"
"3_kqbCwOAS","[""GX010560_50565_fn_143380.jpg""]",0,"[]","[2,492.56095,321.60365,98.174,89.71]","{""1"":""17""}"
"4_FZcHeeAN","[""GX010560_50591_fn_143400.jpg""]",0,"[]","[2,2164.89947,457.01577,157.417,145.568]","{""1"":""17""}"
"4_bQVI9vMZ","[""GX010560_50591_fn_143400.jpg""]",0,"[]","[2,719.37686,213.27359,94.788,84.633]","{""1"":""17""}"
"4_R3vXll52","[""GX010560_50591_fn_143400.jpg""]",0,"[]","[2,1734.967,135.412,103.251,111.715]","{""1"":""17""}"
"5_WXhZYSyM","[""GX010560_50639_fn_143460.jpg""]",0,"[]","[2,1696.0361,113.40745,88.017,82.94]","{""1"":""17""}"
"7_flhXyDfV","[""GX010560_50681_fn_143580.jpg""]",0,"[]","[2,2178.44098,463.78619,164.18707,170.95786]","{""1"":""17""}"
"8_xXKp4EXa","[""GX010560_101402_fn_307810.jpg""]",0,"[]","[2,714.2985,184.49926,113.408,93.095]","{""1"":""17""}"
"8_j0rJDMn5","[""GX010560_101402_fn_307810.jpg""]",0,"[]","[2,1811.13586,164.18708,142.18284,143.87577]","{""1"":""17""}"
"8_pXKyD1WX","[""GX010560_101402_fn_307810.jpg""]",0,"[]","[2,1958.39645,297.90675,113.408,91.403]","{""1"":""17""}"
"8_QQ77oTlY","[""GX010560_101402_fn_307810.jpg""]",0,"[]","[2,958.0405,101.55915,72.784,67.706]","{""1"":""17""}"
"8_64sVEKTq","[""GX010560_101402_fn_307810.jpg""]",0,"[]","[2,431.62591,333.45184,126.94871,101.5593]","{""1"":""17""}"
"9_4OOH73ZV","[""GX010560_101527_fn_308290.jpg""]",0,"[]","[2,2452.64985,721.06911,225.123,250.512]","{""1"":""17""}"
"9_A3z5vtXC","[""GX010560_101527_fn_308290.jpg""]",0,"[]","[2,1.69243,611.04677,103.252,132.02665]","{""1"":""17""}"
"9_Gb2d3uF4","[""GX010560_101527_fn_308290.jpg""]",0,"[]","[2,1861.915,209.889,103.252,106.637]","{""1"":""17""}"
"9_uSyxi5Si","[""GX010560_101527_fn_308290.jpg""]",0,"[]","[2,2266.4588,555.18971,169.265,164.187]","{""1"":""17""}"
"3_v0sWHIbx","[""GX010560_50565_fn_143380.jpg""]",0,"[]","[2,2302.00445,565.34536,140.4902,132.02658]","{""1"":""17""}"
