# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road Defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"Road defects","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_NHTbrTsB","[""GX010600_40401_fn_109520.jpg""]",0,"[]","[2,8.46343,492.56125,235.27822,238.6632]","{""1"":""17""}"
"1_qUCcZQ9i","[""GX010600_40401_fn_109520.jpg""]",0,"[]","[2,250.5119,428.24053,159.10948,164.18709]","{""1"":""17""}"
"1_YIuTItyL","[""GX010600_40401_fn_109520.jpg""]",0,"[]","[2,414.69945,387.6165,148.953,125.257]","{""1"":""17""}"
"1_agNPX8NA","[""GX010600_40401_fn_109520.jpg""]",0,"[]","[2,572.11581,324.98886,130.33408,116.79288]","{""1"":""17""}"
"2_pjsZymX5","[""GX010600_40410_fn_109570.jpg""]",0,"[]","[2,5.07764,492.56085,265.746,220.04494]","{""1"":""17""}"
"2_uOgbvq1B","[""GX010600_40410_fn_109570.jpg""]",0,"[]","[2,280.97955,428.24053,172.65074,162.49427]","{""1"":""16""}"
"2_wT5s98A7","[""GX010600_40410_fn_109570.jpg""]",0,"[]","[2,460.40045,374.07565,118.486,126.949]","{""1"":""17""}"
"2_gFZ5LE4u","[""GX010600_40410_fn_109570.jpg""]",0,"[]","[2,585.65685,336.83765,94.789,99.866]","{""1"":""17""}"
"3_XlnF7Ofe","[""GX010600_40412_fn_109520.jpg""]",0,"[]","[2,5.07829,502.71671,214.96625,216.65968]","{""1"":""17""}"
"3_IfvTvT4p","[""GX010600_40412_fn_109520.jpg""]",0,"[]","[2,228.5077,451.9376,159.109,157.417]","{""1"":""17""}"
"3_vF2aP2gH","[""GX010600_40412_fn_109520.jpg""]",0,"[]","[2,397.7732,375.7685,130.3337,138.7972]","{""1"":""17""}"
"3_itqcF09r","[""GX010600_40412_fn_109520.jpg""]",0,"[]","[2,539.9557,355.45641,103.25143,103.25183]","{""1"":""17""}"
"4_DvUxVW5B","[""GX010600_40424_fn_109540.jpg""]",0,"[]","[2,8.46309,524.7216,184.49905,199.73274]","{""1"":""17""}"
"4_NWayZtYw","[""GX010600_40424_fn_109540.jpg""]",0,"[]","[2,198.04021,446.85974,170.95757,155.724]","{""1"":""17""}"
"4_nkUr8n0g","[""GX010600_40424_fn_109540.jpg""]",0,"[]","[2,375.7685,391.00185,138.7972,128.6418]","{""1"":""17""}"
"4_JraWkC9U","[""GX010600_40424_fn_109540.jpg""]",0,"[]","[2,523.029,345.301,115.1,113.407]","{""1"":""17""}"
"5_bp4t5ooj","[""GX010600_40438_fn_109550.jpg""]",0,"[]","[2,5.07844,517.95145,221.7367,203.11759]","{""1"":""17""}"
"5_1sXznHO4","[""GX010600_40438_fn_109550.jpg""]",0,"[]","[2,233.5861,424.8556,165.87938,164.18672]","{""1"":""17""}"
"5_Jf0Fj55g","[""GX010600_40438_fn_109550.jpg""]",0,"[]","[2,411.314,363.92,159.10916,145.568]","{""1"":""17""}"
"5_1UQBHiyX","[""GX010600_40438_fn_109550.jpg""]",0,"[]","[2,580.579,319.911,111.715,110.022]","{""1"":""17""}"
"6_VSbbKy9A","[""GX010600_40448_fn_109580.jpg""]",0,"[]","[2,8.46284,499.3315,204.8111,199.73309]","{""1"":""17""}"
"6_YBK9kWsJ","[""GX010600_40448_fn_109580.jpg""]",0,"[]","[2,226.81505,428.2403,179.421,164.187]","{""1"":""17""}"
"6_ZrnzVdV6","[""GX010600_40448_fn_109580.jpg""]",0,"[]","[2,413.00665,379.1541,159.109,120.178]","{""1"":""17""}"
"6_qEVXOHCO","[""GX010600_40448_fn_109580.jpg""]",0,"[]","[2,577.19394,343.60851,104.944,91.403]","{""1"":""17""}"
"7_PZ0eSKGt","[""GX010600_40449_fn_109560.jpg""]",0,"[]","[2,6.7706,558.57445,181.11359,165.87989]","{""1"":""17""}"
"7_G47EyuBM","[""GX010600_40449_fn_109560.jpg""]",0,"[]","[2,199.73253,463.78622,164.18729,152.33851]","{""1"":""17""}"
"7_u2VT8tMo","[""GX010600_40449_fn_109560.jpg""]",0,"[]","[2,375.7682,409.62097,147.261,125.257]","{""1"":""17""}"
"7_jdWf8Mze","[""GX010600_40449_fn_109560.jpg""]",0,"[]","[2,533.1853,348.6862,126.948,110.022]","{""1"":""17""}"
"7_drVtGUII","[""GX010600_40449_fn_109560.jpg""]",0,"[]","[2,666.90445,326.68115,91.403,81.248]","{""1"":""17""}"
"8_WnRYAcD3","[""GX010600_40455_fn_109570.jpg""]",0,"[]","[2,8.4631,517.95075,187.88434,211.58154]","{""1"":""17""}"
"8_h6QfUzDY","[""GX010600_40455_fn_109570.jpg""]",0,"[]","[2,203.1185,484.098,155.723,147.26071]","{""1"":""17""}"
"8_RYTO5DKV","[""GX010600_40455_fn_109570.jpg""]",0,"[]","[2,367.3054,397.7724,138.797,133.72]","{""1"":""17""}"
"8_InmbGEnS","[""GX010600_40455_fn_109570.jpg""]",0,"[]","[2,514.56605,375.76795,96.481,101.559]","{""1"":""17""}"
"8_Z38WNX1r","[""GX010600_40455_fn_109570.jpg""]",0,"[]","[2,617.81775,330.06682,96.48069,101.55868]","{""1"":""17""}"
"9_mYoaRpxl","[""GX010600_40480_fn_109600.jpg""]",0,"[]","[2,8.46304,514.56521,213.27415,233.58624]","{""1"":""17""}"
"9_wWEwYyUe","[""GX010600_40480_fn_109600.jpg""]",0,"[]","[2,233.58595,436.7038,177.728,165.88]","{""1"":""17""}"
"9_DOmz5sQM","[""GX010600_40480_fn_109600.jpg""]",0,"[]","[2,418.08465,368.99795,150.646,138.797]","{""1"":""17""}"
"9_L0TW3V7T","[""GX010600_40480_fn_109600.jpg""]",0,"[]","[2,575.50105,330.0673,108.33,111.714]","{""1"":""17""}"
"10_LUG4rVsG","[""GX010600_40482_fn_109590.jpg""]",0,"[]","[2,10.15639,529.79915,203.11755,177.72869]","{""1"":""17""}"
"10_A6bO4dSZ","[""GX010600_40482_fn_109590.jpg""]",0,"[]","[2,223.4296,416.39155,176.036,184.499]","{""1"":""17""}"
"10_kXsih9Rs","[""GX010600_40482_fn_109590.jpg""]",0,"[]","[2,407.92829,363.92001,152.33897,133.71919]","{""1"":""17""}"
"10_XOmfpVux","[""GX010600_40482_fn_109590.jpg""]",0,"[]","[2,570.4229,328.3746,113.408,106.637]","{""1"":""17""}"
"10_Ma3pJ7bA","[""GX010600_40482_fn_109590.jpg""]",0,"[]","[2,692.2935,308.06255,86.326,79.554]","{""1"":""17""}"
"11_hHL3bSX1","[""GX010600_40483_fn_109590.jpg""]",0,"[]","[2,6.77029,511.18016,189.57715,198.04033]","{""1"":""17""}"
"11_Q8hauvg3","[""GX010600_40483_fn_109590.jpg""]",0,"[]","[2,206.5035,443.4746,165.88,148.953]","{""1"":""17""}"
"11_z8coJMbc","[""GX010600_40483_fn_109590.jpg""]",0,"[]","[2,377.46075,365.61205,148.954,154.032]","{""1"":""17""}"
"11_CcbwXbqI","[""GX010600_40483_fn_109590.jpg""]",0,"[]","[2,531.49215,328.37395,128.641,110.022]","{""1"":""17""}"
"11_5MWpwV3i","[""GX010600_40483_fn_109590.jpg""]",0,"[]","[2,665.2114,313.14025,76.16945,82.93993]","{""1"":""17""}"
"12_vmxbtXZF","[""GX010600_40488_fn_109600.jpg""]",0,"[]","[2,6.7706,507.79511,203.11804,230.20044]","{""1"":""17""}"
"12_cYs8ko83","[""GX010600_40488_fn_109600.jpg""]",0,"[]","[2,220.04429,426.54789,164.18734,186.19112]","{""1"":""17""}"
"12_RLFi6haY","[""GX010600_40488_fn_109600.jpg""]",0,"[]","[2,391.002,399.465,121.871,126.949]","{""1"":""17""}"
"12_bQ0A4yg1","[""GX010600_40488_fn_109600.jpg""]",0,"[]","[2,517.95145,348.68575,121.87,111.715]","{""1"":""17""}"
"12_DJlwS49U","[""GX010600_40488_fn_109600.jpg""]",0,"[]","[2,644.89975,316.5253,98.174,84.633]","{""1"":""17""}"
"13_s3giP08p","[""GX010600_40498_fn_109610.jpg""]",0,"[]","[2,3.38574,553.49626,186.1911,194.65519]","{""1"":""17""}"
"13_4fxle8kX","[""GX010600_40498_fn_109610.jpg""]",0,"[]","[2,194.65525,465.47884,160.80132,160.80131]","{""1"":""17""}"
"13_JWieWkXT","[""GX010600_40498_fn_109610.jpg""]",0,"[]","[2,360.53465,402.8511,140.49,123.563]","{""1"":""17""}"
"13_p7yAAGxI","[""GX010600_40498_fn_109610.jpg""]",0,"[]","[2,511.1809,367.30506,106.63647,99.86643]","{""1"":""17""}"
"13_FfV6BO9G","[""GX010600_40498_fn_109610.jpg""]",0,"[]","[2,624.5877,335.14515,96.481,79.554]","{""1"":""17""}"
"14_O6z2gd5t","[""GX010600_40516_fn_109680.jpg""]",0,"[]","[2,5.07769,512.8728,196.3477,201.42564]","{""1"":""17""}"
"14_RD7GeNmk","[""GX010600_40516_fn_109680.jpg""]",0,"[]","[2,206.50315,418.08463,184.49908,174.34286]","{""1"":""17""}"
"14_JCdvYR2k","[""GX010600_40516_fn_109680.jpg""]",0,"[]","[2,396.08018,355.45614,162.49447,160.80221]","{""1"":""17""}"
"14_qhw08Kji","[""GX010600_40516_fn_109680.jpg""]",0,"[]","[2,565.34521,336.83725,132.02639,104.94449]","{""1"":""17""}"
"14_XsX9udmY","[""GX010600_40516_fn_109680.jpg""]",0,"[]","[2,704.14215,301.29205,81.248,89.71]","{""1"":""17""}"
"788_g8EYpQUX","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,6.77074,511.18002,213.2738,231.89348]","{""1"":""17""}"
"788_eMXJcNG6","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,233.58539,470.55701,157.417,169.265]","{""1"":""17""}"
"788_cGJpalGP","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,578.59194,346,115.40806,121.93318]","{""1"":""17""}"
"788_uYHoJZs2","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,708.76595,324.6771,84.633,84.632]","{""1"":""17""}"
"788_SfWFfKNu","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,1598,255.742,102.503,108.258]","{""1"":""17""}"
"788_ZVYMnf7c","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,1710,336,160.993,125.163]","{""1"":""17""}"
"788_XeaXS9cQ","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,2286,536,312,348]","{""1"":""17""}"
"788_Y5gREG2m","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,2074,446,202,276]","{""1"":""17""}"
"788_FCngjmsO","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,1878,382,180,170]","{""1"":""17""}"
"788_pVFGrFYI","[""GX010600_46707_fn_113820.jpg""]",0,"[]","[2,394,378,174,166]","{""1"":""17""}"
"787_naFRkIbV","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,12,468,262,266]","{""1"":""17""}"
"787_J7nmvx3b","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,2310,532,376,394]","{""1"":""17""}"
"787_azM2DFuX","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,2072,502,222,228]","{""1"":""17""}"
"787_s7rsbPsn","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,1876,370,186,182]","{""1"":""17""}"
"787_1XESDtTM","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,1722,296,148,150]","{""1"":""17""}"
"787_ueXJUYOt","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,1784,284,0,2]","{}"
"787_g8JyWXKS","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,284,404,188,186]","{""1"":""17""}"
"787_vYoiJxMO","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,480,366,140,128]","{""1"":""17""}"
"787_gLk58T2k","[""GX010600_46696_fn_113830.jpg""]",0,"[]","[2,632,330,116,104]","{""1"":""17""}"
"786_X8VMFrkI","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,8,476,282,250]","{""1"":""17""}"
"786_0ipbm92e","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,304,406,204,182]","{""1"":""17""}"
"786_SjODqT4R","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,518,356,134,128]","{""1"":""17""}"
"786_MwRMwS3M","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,662,310,124,114]","{""1"":""17""}"
"786_16jatj9u","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,1602,262,116,106]","{""1"":""17""}"
"786_POXlf3uN","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,1740,274,194,202]","{""1"":""17""}"
"786_PjEh8wYW","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,1936,410,136,182]","{""1"":""17""}"
"786_WgfwF1mt","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,2082,444,206,246]","{""1"":""17""}"
"786_jjNCqn0n","[""GX010600_46692_fn_113810.jpg""]",0,"[]","[2,2300,528,376,464]","{""1"":""17""}"
"785_gWFjTBNu","[""GX010600_46685_fn_113810.jpg""]",0,"[]","[2,4,528,202,226]","{""1"":""17""}"
"15_0akPXGtn","[""GX010600_40517_fn_109620.jpg""]",0,"[]","[2,6,536,176,206]","{""1"":""17""}"
"15_5rHrffXw","[""GX010600_40517_fn_109620.jpg""]",0,"[]","[2,190,470,162,160]","{""1"":""17""}"
"15_re0CI0Dl","[""GX010600_40517_fn_109620.jpg""]",0,"[]","[2,360,422,134,118]","{""1"":""17""}"
"15_y483eM0Y","[""GX010600_40517_fn_109620.jpg""]",0,"[]","[2,500,368,102,98]","{""1"":""17""}"
"16_XSDqkqX0","[""GX010600_40534_fn_109630.jpg""]",0,"[]","[2,8,502,220,216]","{""1"":""17""}"
"16_S1ZISmMX","[""GX010600_40534_fn_109630.jpg""]",0,"[]","[2,234,422,166,174]","{""1"":""17""}"
"16_iLcM0ARk","[""GX010600_40534_fn_109630.jpg""]",0,"[]","[2,410,392,122,128]","{""1"":""17""}"
"16_dBXxtezI","[""GX010600_40534_fn_109630.jpg""]",0,"[]","[2,542,362,102,106]","{""1"":""17""}"
"17_JCFLLOrr","[""GX010600_40536_fn_109640.jpg""]",0,"[]","[2,4,498,192,242]","{""1"":""17""}"
"17_ZOdaamI4","[""GX010600_40536_fn_109640.jpg""]",0,"[]","[2,206,456,162,156]","{""1"":""17""}"
"17_m936xI8Y","[""GX010600_40536_fn_109640.jpg""]",0,"[]","[2,378,408,126,118]","{""1"":""17""}"
"17_DXqk0eEO","[""GX010600_40536_fn_109640.jpg""]",0,"[]","[2,514,378,102,92]","{""1"":""17""}"
"18_Q9ilxhK2","[""GX010600_40554_fn_109670.jpg""]",0,"[]","[2,382,416,126,116]","{""1"":""17""}"
"18_ItFW5BQ6","[""GX010600_40554_fn_109670.jpg""]",0,"[]","[2,516,362,116,100]","{""1"":""17""}"
"18_sLbHSFQb","[""GX010600_40554_fn_109670.jpg""]",0,"[]","[2,216,448,160,156]","{""1"":""17""}"
"18_nuLrhONr","[""GX010600_40554_fn_109670.jpg""]",0,"[]","[2,6,468,202,260]","{""1"":""17""}"
