# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"Road defects","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"414_oa1nGOXE","[""GX010602_3954_fn_87850.jpg""]",0,"[]","[2,2310.468,1157.773,365.612,346.993]","{""1"":""17""}"
"1_e8hcH5Eb","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,5.07758,492.56125,201.42576,242.04932]","{""1"":""17""}"
"1_eBVJF405","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,214.96627,401.15813,194.65511,216.65968]","{""1"":""17""}"
"1_XkXQHbMf","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,416.39183,348.68556,194.65494,162.49484]","{""1"":""17""}"
"1_GqM1zztm","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,2459.42094,754.92205,240.35663,380.84632]","{""1"":""17""}"
"1_3MV4JA0E","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,2175.05573,585.65687,252.205,296.214]","{""1"":""17""}"
"1_xvhkQqeF","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,1888.99777,389.30958,274.20981,274.20935]","{""1"":""17""}"
"1_FJOvvl00","[""GX010600_44123_fn_111960.jpg""]",0,"[]","[2,1692.64986,319.91081,191.27,170.958]","{""1"":""17""}"
"2_iZijXhl3","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,8.46339,465.4788,252.205,243.742]","{""1"":""17""}"
"2_zYLsgyPv","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,269.1319,374.07572,186.19104,223.42948]","{""1"":""17""}"
"2_OLGBdQn4","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,463.7863,336.8373,147.26,145.568]","{""1"":""17""}"
"2_ft6XuI2i","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,2356.16942,631.35857,341.915,394.38753]","{""1"":""17""}"
"2_28ry8zyO","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,2049.79955,472.24944,292.82811,297.90646]","{""1"":""17""}"
"2_IS8RVRpk","[""GX010600_44133_fn_111970.jpg""]",0,"[]","[2,1787.4389,338.53045,257.283,252.205]","{""1"":""17""}"
