# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Road Defects","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Crack longitudinal","1":"Crack longitudinal mechanical","2":"Crack transverse","3":"Crack transverse mechanical","4":"Crack crocodile","5":"Pothole","6":"Road marking blur","7":"Line marking blur","8":"Manhole","9":"Edge break","10":"Edge drop","11":"Edge repair","12":"Rutting","13":"Shoving","14":"Pumping","15":"Patching","16":"Ravelling","17":"Encroachment bush","18":"Encroachment sand","19":"Block crack","20":"Undulations","21":"Texture","22":"Voids","23":"Aggregate loss","24":"Bleeding","25":"Pitting","26":"Eroded washaway","27":"Deformation of road surface","28":"Stripping or breaking of seal","29":"Single cracks","30":"Close-spaced fine cracking or crazing","31":"Stripping of seal","32":"Local depressions","33":"Shoulder build-up above pavement edge level","34":"Tall dense grass growth","35":"Worn shoulder material below pavement edge","36":"Fading road sign","37":"Dirty road sign","38":"Bad night visibility of road markings","39":"Road markings obliterated","40":"Missing or damaged road studs","41":"Vegetation debris silt and growth in drainage facilities","42":"Long grass in road verges","43":"Undesired vegetation trees declared as pests in undesirable position","44":"Termite nest on road shoulder or in road reserve","45":"New sign required or existing one missing","46":"Existing signs damaged or badly deteriorated","47":"Guardrail missing or badly deteriorated","48":"Litter debris","49":"Surface Failure","50":"Structural Failure"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"4_DxG3pD6U","[""GX010590_52974_fn_86830.jpg""]",0,"[]","[2,1513.63395,275.35102,222.827,179.853]","{""1"":""18""}"
"5_wvS6xXcw","[""GX010590_53006_fn_86860.jpg""]",0,"[]","[2,1451.56,246.702,162.346,124.146]","{""1"":""18""}"
"6_gEvZyQQP","[""GX010590_53022_fn_86880.jpg""]",0,"[]","[2,1438.827,232.377,124.147,92.314]","{""1"":""18""}"
"7_iqq4RWid","[""GX010590_53040_fn_86900.jpg""]",0,"[]","[2,1416.54449,240.33462,116.188,81.173]","{""1"":""18""}"
"8_DtVVZaz5","[""GX010590_53931_fn_88200.jpg""]",0,"[]","[2,1411.77,270.576,135.288,87.539]","{""1"":""18""}"
"9_BOOuUPrc","[""GX010590_53957_fn_88230.jpg""]",0,"[]","[2,1405.403,251.476,98.681,62.074]","{""1"":""18""}"
"13_nykfXqvE","[""GX040591_12557_fn_238380.jpg""]",0,"[]","[2,1459.518,808.545,550.702,471.12]","{""1"":""23""}"
"14_CiAqvpYE","[""GX040591_12593_fn_238710.jpg""]",0,"[]","[2,1483.393,356.524,243.518,151.204]","{""1"":""23""}"
"15_k4SbIvlQ","[""GX040591_12634_fn_238790.jpg""]",0,"[]","[2,1440.41885,313.55,186.21961,97.089]","{""1"":""23""}"
"16_WUmymYgR","[""GX040591_12720_fn_239050.jpg""]",0,"[]","[2,1763.51788,623.91652,418.597,326.282]","{""1"":""23""}"
"17_2pD0s3kG","[""GX040591_12732_fn_239070.jpg""]",0,"[]","[2,1645.738,517.277,367.665,235.561]","{""1"":""23""}"
"18_CBWR4rSC","[""GX040595_32371_fn_293640.jpg""]",0,"[]","[2,1002.723,792.628,872.209,565.026]","{""1"":""23""}"
"21_E8RGWSLY","[""GX110587_2910_fn_48140.jpg""]",0,"[]","[2,211.68582,727.3721,407.456,418.596]","{""1"":""14""}"
"21_jjR7J1ac","[""GX110587_2910_fn_48140.jpg""]",0,"[]","[2,650.974,477.487,275.351,203.728]","{""1"":""14""}"
