inspection_round,video_source,track_id,defect_id,frame_number,frame_x_min,frame_y_min,frame_x_max,frame_y_max,defect_class_id,geom,gps_longitude,gps_latitude,gps_altitude_m,confidence_detect,degree_classification,verified,ra_region,ra_area,road_no,segment_id_500m
2026-01V4,GX020576,135639,GX020576_135639,46760.0,5.278,629.815,260.37,177.685,17.0,0101000020110f0000830220cd42a04041453ba413047743c1,19.576137,-22.3309314,1479.505,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135639,GX020576_135639,46760.0,302.593,497.87,184.722,133.704,17.0,0101000020110f0000830220cd42a04041453ba413047743c1,19.576137,-22.3309314,1479.505,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135639,GX020576_135639,46760.0,534.815,388.796,177.685,144.26,17.0,0101000020110f0000830220cd42a04041453ba413047743c1,19.576137,-22.3309314,1479.505,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135639,GX020576_135639,46760.0,2258.889,650.926,237.5,205.833,17.0,0101000020110f0000830220cd42a04041453ba413047743c1,19.576137,-22.3309314,1479.505,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135654,GX020576_135654,46830.0,12.315,650.926,197.037,175.926,17.0,0101000020110f0000a988be2048a040418feaf299037743c1,19.5762327,-22.3309235,1479.485,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135654,GX020576_135654,46830.0,265.648,517.222,161.852,137.222,17.0,0101000020110f0000a988be2048a040418feaf299037743c1,19.5762327,-22.3309235,1479.485,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135654,GX020576_135654,46830.0,485.556,404.63,140.74,154.814,17.0,0101000020110f0000a988be2048a040418feaf299037743c1,19.5762327,-22.3309235,1479.485,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135658,GX020576_135658,46900.0,15.833,598.148,211.111,197.037,17.0,0101000020110f0000cf0e5d744da040414c9a4120037743c1,19.5763284,-22.3309156,1479.501,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135658,GX020576_135658,46900.0,276.204,478.519,174.166,165.37,17.0,0101000020110f0000cf0e5d744da040414c9a4120037743c1,19.5763284,-22.3309156,1479.501,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135658,GX020576_135658,46900.0,494.35159,383.51856,182.963,160.093,17.0,0101000020110f0000cf0e5d744da040414c9a4120037743c1,19.5763284,-22.3309156,1479.501,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135688,GX020576_135688,47000.0,184.722,564.722,193.519,151.297,17.0,0101000020110f0000e3e5658754a040417b9c6e7b027743c1,19.5764555,-22.3309049,1479.521,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135688,GX020576_135688,47000.0,462.685,427.5,170.648,131.944,17.0,0101000020110f0000e3e5658754a040417b9c6e7b027743c1,19.5764555,-22.3309049,1479.521,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135688,GX020576_135688,47000.0,687.87,344.815,126.667,109.074,17.0,0101000020110f0000e3e5658754a040417b9c6e7b027743c1,19.5764555,-22.3309049,1479.521,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135810,GX020576_135810,47370.0,33.426,601.667,186.481,197.037,17.0,0101000020110f00003f09c8ce6fa04041b9b91703007743c1,19.576945600000002,-22.33086385,1479.4805000000001,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135810,GX020576_135810,47370.0,425.741,409.907,226.944,149.537,17.0,0101000020110f00003f09c8ce6fa04041b9b91703007743c1,19.576945600000002,-22.33086385,1479.4805000000001,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135810,GX020576_135810,47370.0,724.81526,307.87085,190.0,116.111,17.0,0101000020110f00003f09c8ce6fa04041b9b91703007743c1,19.576945600000002,-22.33086385,1479.4805000000001,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135822,GX020576_135822,47340.0,21.111,615.741,202.315,182.963,17.0,0101000020110f00006d83d8c36da040416b650c31007743c1,19.576908899916084,-22.33086683334026,1479.495000015984,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135822,GX020576_135822,47340.0,288.519,508.426,172.407,167.13,17.0,0101000020110f00006d83d8c36da040416b650c31007743c1,19.576908899916084,-22.33086683334026,1479.495000015984,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135822,GX020576_135822,47340.0,520.741,385.278,175.926,121.389,17.0,0101000020110f00006d83d8c36da040416b650c31007743c1,19.576908899916084,-22.33086683334026,1479.495000015984,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-135
2026-01V4,GX020576,135523,GX020576_135523,127790.0,51.019,598.148,248.055,175.926,17.0,0101000020110f000068a7b7f938b6404138a73157fa7243c1,19.67714670007752,-22.313750766634964,1466.0889999680319,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135523,GX020576_135523,127790.0,358.889,434.537,202.315,184.722,17.0,0101000020110f000068a7b7f938b6404138a73157fa7243c1,19.67714670007752,-22.313750766634964,1466.0889999680319,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135523,GX020576_135523,127790.0,622.778,365.926,130.185,114.352,17.0,0101000020110f000068a7b7f938b6404138a73157fa7243c1,19.67714670007752,-22.313750766634964,1466.0889999680319,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135523,GX020576_135523,127790.0,2065.37,460.926,140.741,126.667,17.0,0101000020110f000068a7b7f938b6404138a73157fa7243c1,19.67714670007752,-22.313750766634964,1466.0889999680319,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135525,GX020576_135525,127800.0,33.426,582.315,263.889,262.129,17.0,0101000020110f00000e3aee8339b640415f52191afa7243c1,19.6771564,-22.3137468,1466.085,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135525,GX020576_135525,127800.0,374.722,427.5,182.963,205.833,17.0,0101000020110f00000e3aee8339b640415f52191afa7243c1,19.6771564,-22.3137468,1466.085,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135525,GX020576_135525,127800.0,640.37,341.296,167.13,142.5,17.0,0101000020110f00000e3aee8339b640415f52191afa7243c1,19.6771564,-22.3137468,1466.085,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135525,GX020576_135525,127800.0,2408.426,624.537,225.185,318.426,17.0,0101000020110f00000e3aee8339b640415f52191afa7243c1,19.6771564,-22.3137468,1466.085,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135530,GX020576_135530,128010.0,47.5,555.926,198.796,235.741,17.0,0101000020110f000039df901a48b640417c7ea89af37243c1,19.6774185,-22.3136388,1465.988,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135530,GX020576_135530,128010.0,336.019,418.704,214.629,218.148,17.0,0101000020110f000039df901a48b640417c7ea89af37243c1,19.6774185,-22.3136388,1465.988,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
2026-01V4,GX020576,135530,GX020576_135530,128010.0,621.019,339.537,188.24,165.37,17.0,0101000020110f000039df901a48b640417c7ea89af37243c1,19.6774185,-22.3136388,1465.988,1.00,NotRated,1.0,Windhoek,Gobabis,T0602,T0602-156
