inspection_round,video_source,track_id,defect_id,frame_number,frame_x_min,frame_y_min,frame_x_max,frame_y_max,defect_class_id
2026-01V4,GX020576,230,GX020576_230,46760.0,5.278,629.815,260.37,177.685,17.0
2026-01V4,GX020576,230,GX020576_230,46760.0,302.593,497.87,184.722,133.704,17.0
2026-01V4,GX020576,230,GX020576_230,46760.0,534.815,388.796,177.685,144.26,17.0
2026-01V4,GX020576,230,GX020576_230,46760.0,2258.889,650.926,237.5,205.833,17.0
2026-01V4,GX020576,234,GX020576_234,46830.0,12.315,650.926,197.037,175.926,17.0
2026-01V4,GX020576,234,GX020576_234,46830.0,265.648,517.222,161.852,137.222,17.0
2026-01V4,GX020576,234,GX020576_234,46830.0,485.556,404.63,140.74,154.814,17.0
2026-01V4,GX020576,238,GX020576_238,46900.0,15.833,598.148,211.111,197.037,17.0
2026-01V4,GX020576,238,GX020576_238,46900.0,276.204,478.519,174.166,165.37,17.0
2026-01V4,GX020576,238,GX020576_238,46900.0,494.35159,383.51856,182.963,160.093,17.0
2026-01V4,GX020576,248,GX020576_248,47000.0,184.722,564.722,193.519,151.297,17.0
2026-01V4,GX020576,248,GX020576_248,47000.0,462.685,427.5,170.648,131.944,17.0
2026-01V4,GX020576,248,GX020576_248,47000.0,687.87,344.815,126.667,109.074,17.0
2026-01V4,GX020576,295,GX020576_295,47370.0,33.426,601.667,186.481,197.037,17.0
2026-01V4,GX020576,295,GX020576_295,47370.0,425.741,409.907,226.944,149.537,17.0
2026-01V4,GX020576,295,GX020576_295,47370.0,724.81526,307.87085,190.0,116.111,17.0
2026-01V4,GX020576,301,GX020576_301,47340.0,21.111,615.741,202.315,182.963,17.0
2026-01V4,GX020576,301,GX020576_301,47340.0,288.519,508.426,172.407,167.13,17.0
2026-01V4,GX020576,301,GX020576_301,47340.0,520.741,385.278,175.926,121.389,17.0
2026-01V4,GX020576,1845,GX020576_1845,127790.0,51.019,598.148,248.055,175.926,17.0
2026-01V4,GX020576,1845,GX020576_1845,127790.0,358.889,434.537,202.315,184.722,17.0
2026-01V4,GX020576,1845,GX020576_1845,127790.0,622.778,365.926,130.185,114.352,17.0
2026-01V4,GX020576,1845,GX020576_1845,127790.0,2065.37,460.926,140.741,126.667,17.0
2026-01V4,GX020576,1847,GX020576_1847,127800.0,33.426,582.315,263.889,262.129,17.0
2026-01V4,GX020576,1847,GX020576_1847,127800.0,374.722,427.5,182.963,205.833,17.0
2026-01V4,GX020576,1847,GX020576_1847,127800.0,640.37,341.296,167.13,142.5,17.0
2026-01V4,GX020576,1847,GX020576_1847,127800.0,2408.426,624.537,225.185,318.426,17.0
2026-01V4,GX020576,1864,GX020576_1864,128010.0,47.5,555.926,198.796,235.741,17.0
2026-01V4,GX020576,1864,GX020576_1864,128010.0,336.019,418.704,214.629,218.148,17.0
2026-01V4,GX020576,1864,GX020576_1864,128010.0,621.019,339.537,188.24,165.37,17.0
2026-01V4,GX020576,1864,GX020576_1864,128010.0,2179.722,492.593,197.037,256.851,17.0
2026-01V4,GX020576,1865,GX020576_1865,128020.0,58.056,571.759,242.777,230.463,17.0
2026-01V4,GX020576,1865,GX020576_1865,128020.0,394.074,416.944,218.148,209.352,17.0
2026-01V4,GX020576,1865,GX020576_1865,128020.0,719.537,297.315,161.852,153.055,17.0
2026-01V4,GX020576,1865,GX020576_1865,128020.0,1878.889,299.074,262.13,244.537,17.0
2026-01V4,GX020576,1866,GX020576_1866,128020.0,12.31456,601.66656,248.056,235.741,17.0
2026-01V4,GX020576,1866,GX020576_1866,128020.0,328.981,476.759,165.371,186.482,17.0
2026-01V4,GX020576,1866,GX020576_1866,128020.0,573.519,348.333,186.481,200.556,17.0
2026-01V4,GX020576,1866,GX020576_1866,128020.0,2005.55537,411.6667,197.037,182.963,17.0
2026-01V4,GX020576,1869,GX020576_1869,128020.0,86.204,612.222,209.352,179.445,17.0
2026-01V4,GX020576,1869,GX020576_1869,128020.0,351.852,467.963,188.241,186.481,17.0
2026-01V4,GX020576,1869,GX020576_1869,128020.0,601.667,341.296,182.963,174.167,17.0
2026-01V4,GX020576,1869,GX020576_1869,128020.0,2023.148,404.63,149.537,193.518,17.0
2026-01V4,GX020576,1876,GX020576_1876,128040.0,15.83344,599.90785,244.537,255.092,17.0
2026-01V4,GX020576,1876,GX020576_1876,128040.0,306.111,466.204,248.056,184.722,17.0
2026-01V4,GX020576,1876,GX020576_1876,128040.0,612.222,383.519,190.0,119.629,17.0
2026-01V4,GX020576,1877,GX020576_1877,128040.0,15.833,594.63,218.148,265.648,17.0
2026-01V4,GX020576,1877,GX020576_1877,128040.0,320.185,452.13,188.241,244.537,17.0
2026-01V4,GX020576,1877,GX020576_1877,128040.0,547.13,353.611,211.111,160.093,17.0
2026-01V4,GX020576,1897,GX020576_1897,128170.0,24.63,587.593,279.722,292.037,17.0
2026-01V4,GX020576,1897,GX020576_1897,128170.0,337.778,460.926,198.796,207.593,17.0
2026-01V4,GX020576,1897,GX020576_1897,128170.0,582.315,314.907,193.518,207.593,17.0
2026-01V4,GX020576,429,GX020576_429,49140.0,149.537,735.37,355.37,123.149,15.0
2026-01V4,GX020576,429,GX020576_429,49140.0,1481.296,517.222,575.278,450.371,15.0
2026-01V4,GX020576,430,GX020576_430,49140.0,1500.648,494.352,568.241,473.241,15.0
2026-01V4,GX020576,430,GX020576_430,49140.0,163.6113,684.35174,330.74055,170.648,15.0
2026-01V4,GX020576,437,GX020576_437,49140.0,147.778,703.704,344.815,163.611,15.0
2026-01V4,GX020576,437,GX020576_437,49140.0,1465.463,503.148,599.907,471.482,15.0
2026-01V4,GX020576,447,GX020576_447,49260.0,1425.0,543.611,740.648,283.241,15.0
2026-01V4,GX020576,448,GX020576_448,49200.0,1461.944,263.889,165.371,96.759,15.0
2026-01V4,GX020576,451,GX020576_451,49200.0,1470.741,269.167,154.815,87.963,15.0
2026-01V4,GX020576,460,GX020576_460,49270.0,1439.074,460.926,550.648,158.333,15.0
2026-01V4,GX020576,461,GX020576_461,49240.0,1460.185,251.574,124.908,49.259,15.0
2026-01V4,GX020576,484,GX020576_484,49300.0,1585.093,540.093,566.481,290.277,15.0
2026-01V4,GX020576,486,GX020576_486,49300.0,1567.5,536.574,573.519,304.352,15.0
2026-01V4,GX020576,495,GX020576_495,49360.0,1495.37,297.315,163.611,45.741,15.0
2026-01V4,GX020576,3676,GX020576_3676,319590.0,1252.593,316.667,112.592,51.018,15.0
2026-01V4,GX020576,3676,GX020576_3676,319590.0,1393.333,334.259,279.72256,207.593,15.0
2026-01V4,GX020576,2544,GX020576_2544,197560.0,960.556,457.407,269.166,138.982,49.0
2026-01V4,GX020576,2544,GX020576_2544,197560.0,452.13,828.611,570.0,438.056,50.0
2026-01V4,GX020576,2548,GX020576_2548,197570.0,1045.0,404.63,242.778,91.481,49.0
2026-01V4,GX020576,2548,GX020576_2548,197570.0,249.81523,1097.77793,494.351,302.592,49.0
2026-01V4,GX020576,2548,GX020576_2548,197570.0,619.259,587.593,541.852,408.148,50.0
2026-01V4,GX020576,2552,GX020576_2552,197580.0,849.72241,487.31522,334.259,258.611,50.0
2026-01V4,GX020576,2552,GX020576_2552,197580.0,575.278,770.556,390.555,256.851,49.0
